type,t_rel,t_abs,j1,j2,j3,j4,j5,j6
cmd,0.000000,259.700000,0.500036,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.005000,259.705000,0.501607,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.010000,259.710000,0.503176,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.015000,259.715000,0.504742,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.020000,259.720000,0.506303,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.025000,259.725000,0.507858,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.030000,259.730000,0.509405,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.035000,259.735000,0.510944,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.040000,259.740000,0.512471,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.045000,259.745000,0.513986,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.050000,259.750000,0.515487,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.055000,259.755000,0.516973,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.060000,259.760000,0.518443,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.065000,259.765000,0.519894,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.070000,259.770000,0.521325,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.075000,259.775000,0.522736,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.080000,259.780000,0.524124,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.085000,259.785000,0.525489,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.090000,259.790000,0.526828,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.095000,259.795000,0.528141,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.100000,259.800000,0.529426,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.105000,259.805000,0.530682,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.110000,259.810000,0.531908,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.115000,259.815000,0.533102,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.120000,259.820000,0.534264,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.125000,259.825000,0.535392,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.130000,259.830000,0.536485,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.135000,259.835000,0.537542,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.140000,259.840000,0.538562,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.145000,259.845000,0.539544,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.150000,259.850000,0.540487,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.155000,259.855000,0.541390,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.160000,259.860000,0.542253,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.165000,259.865000,0.543074,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.170000,259.870000,0.543852,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.175000,259.875000,0.544587,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.180000,259.880000,0.545278,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.185000,259.885000,0.545924,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.190000,259.890000,0.546525,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.195000,259.895000,0.547080,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.200000,259.900000,0.547589,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.205000,259.905000,0.548051,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.210000,259.910000,0.548466,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
cmd,0.215000,259.915000,0.548832,-1.049740,1.050626,-1.050592,-0.800066,-0.000180
